user_id,product_id,score,interaction_type,order_id
U020,P003,5,purchase,ORD-0001
U094,P020,2,wishlist,ORD-0002
U131,P024,5,purchase,ORD-0003
U108,P035,5,purchase,ORD-0004
U160,P013,2,wishlist,ORD-0005
U192,P038,5,purchase,ORD-0006
U023,P017,3,cart,ORD-0007
U101,P007,5,purchase,ORD-0008
U081,P011,3,cart,ORD-0009
U170,P016,3,cart,ORD-0010
U127,P022,2,wishlist,ORD-0011
U064,P017,5,purchase,ORD-0012
U128,P026,5,purchase,ORD-0013
U177,P003,5,purchase,ORD-0014
U014,P024,3,cart,ORD-0015
U102,P024,5,purchase,ORD-0016
U147,P017,5,purchase,ORD-0017
U186,P031,5,purchase,ORD-0018
U150,P029,5,purchase,ORD-0019
U077,P027,5,purchase,ORD-0020
U021,P017,5,purchase,ORD-0021
U065,P002,2,wishlist,ORD-0022
U118,P037,3,cart,ORD-0023
U172,P012,5,purchase,ORD-0024
U150,P018,5,purchase,ORD-0025
U053,P007,5,purchase,ORD-0026
U076,P008,3,cart,ORD-0027
U004,P037,5,purchase,ORD-0028
U044,P027,5,purchase,ORD-0029
U101,P035,5,purchase,ORD-0030
U069,P034,3,cart,ORD-0031
U085,P008,2,wishlist,ORD-0032
U066,P013,5,purchase,ORD-0033
U128,P005,5,purchase,ORD-0034
U010,P004,2,wishlist,ORD-0035
U061,P008,5,purchase,ORD-0036
U027,P035,5,purchase,ORD-0037
U055,P019,5,purchase,ORD-0038
U143,P040,5,purchase,ORD-0039
U183,P035,5,purchase,ORD-0040
U120,P003,5,purchase,ORD-0041
U167,P030,2,wishlist,ORD-0042
U198,P035,5,purchase,ORD-0043
U135,P019,3,cart,ORD-0044
U130,P003,3,cart,ORD-0045
U200,P027,5,purchase,ORD-0046
U087,P022,5,purchase,ORD-0047
U146,P035,5,purchase,ORD-0048
U014,P031,5,purchase,ORD-0049
U190,P029,5,purchase,ORD-0050
U120,P038,3,cart,ORD-0051
U166,P035,2,wishlist,ORD-0052
U028,P033,3,cart,ORD-0053
U028,P035,3,cart,ORD-0054
U170,P033,5,purchase,ORD-0055
U062,P021,3,cart,ORD-0056
U036,P012,5,purchase,ORD-0057
U106,P012,5,purchase,ORD-0058
U119,P035,3,cart,ORD-0059
U120,P031,5,purchase,ORD-0060
U139,P018,5,purchase,ORD-0061
U021,P003,5,purchase,ORD-0062
U097,P036,5,purchase,ORD-0063
